person_id,name,character,role
529469,Pamela Donegan,Herself,ACTOR
529467,Len Chandler,Himself,ACTOR
37864,Michael Alaimo,Himself,ACTOR
208243,Holly Near,Herself,ACTOR
70582,Paul Mooney,Himself,ACTOR
488851,Rita Martinson,Herself,ACTOR
32267,Peter Boyle,Himself,ACTOR
473965,Steve Jaffe,Himself,ACTOR
529468,Francine Parker,,DIRECTOR
173189,Farid Shawqi,Mohsen's Father,ACTOR
530826,Mahmoud el-Meliguy,Qadry,ACTOR
216804,Ezzat El Alaili,Shaker,ACTOR
538123,Youssef Wahby,Souril,ACTOR
537218,Yehia Chahine,,ACTOR
558944,Leila Fawzi,,ACTOR
745894,Akela Kateb,,ACTOR
1326853,Zeinab Sedky,,ACTOR
493971,Ahmad Abdel Waress,,ACTOR
479007,Abdel Azziz Makhyoun,,ACTOR
745892,Ahmed Mehrez,,ACTOR
540702,Abdel Warith Assir,The Sheikh,ACTOR
745900,Aida Kamel,,ACTOR
745891,Oussaida Abbass,,ACTOR
536986,Zouzou Hamdy El-Hakim,,ACTOR
745890,Abdel Salam Mohamed,,ACTOR
745889,Halima El Soghayar,,ACTOR
745888,Samira Mohamed,,ACTOR
745887,Abou Hachich,,ACTOR
745886,Gamil El Traboulsi,,ACTOR
223449,Ahmad Zaki,Ibrahim,ACTOR
323651,Ahmad Bedir,,ACTOR
530275,Naglaa Fathy,,ACTOR
452580,Abdullah Mahmoud,Mohsen,ACTOR
1113158,Mohsena Tawfik,Yehya's Mother,ACTOR
740561,Seif Abdelrahman,,ACTOR
173191,Youssef Chahine,,DIRECTOR
216804,Ezzat El Alaili,Abd El-Hadi,ACTOR
530826,Mahmoud el-Meliguy,Mohamed Abu Swelam,ACTOR
452578,Hamdy Ahmed,Mohammad Effendi,ACTOR
537218,Yehia Chahine,Hassuna,ACTOR
498370,Tewfik El Dekn,Khedr,ACTOR
676484,Ali El Sherif,Diab,ACTOR
451939,Salah El-Saadany,Elwani,ACTOR
525264,Nagwa Ibrahim,Wasifa,ACTOR
540702,Abdel Warith Assir,El Omda,ACTOR
1332498,Fatma Omara‏,Khadra,ACTOR
1635403,Ashraf Al-Selehdar,Mahmoud Bik,ACTOR
1320859,Hussein Ismail,Shenawy,ACTOR
1330957,Mahmoud Al Iraq,,ACTOR
1014405,Faiza Abdelgawwad,,ACTOR
173191,Youssef Chahine,,DIRECTOR
6958,Amitabh Bachchan,Vijay Varma,ACTOR
104308,Shatrughan Sinha,Ravi Kapoor,ACTOR
105220,Zeenat Aman,Sheetal Sahni,ACTOR
57763,Prem Chopra,Mr. Daaga,ACTOR
63303,Amrish Puri,Balwant Singh,ACTOR
105226,Helen,Sylvia,ACTOR
105221,Pran,Tony,ACTOR
511559,Gajanan Jagirdar,High School Principal,ACTOR
511558,Sajjan,Ramnik Lal Tiwari,ACTOR
68725,Iftekhar,Prosecuting Lawyer,ACTOR
434348,K.N. Singh,Judge,ACTOR
568116,Trilok Kapoor,,ACTOR
511561,Abhimanyu Sharma,,ACTOR
299653,Goga Kapoor,,ACTOR
105228,Mac Mohan,,ACTOR
104310,Paintal,,ACTOR
509316,Jagdish Raj,,ACTOR
509943,Ruby Myers,,ACTOR
199763,Yunus Parvez,,ACTOR
216331,Raj Khosla,,DIRECTOR
553375,Ahmad Mazhar,Saladin,ACTOR
225932,Nadia Lotfi,Louisa de Lusignan,ACTOR
215296,Salah Zulfikar,Issa (The Swimmer),ACTOR
558944,Leila Fawzi,"Virginia, Princess of Kerak",ACTOR
520600,Hamdy Ghaith,King Richard,ACTOR
381250,Laila Taher,Queen Berengaria,ACTOR
471620,Omar El-Hariri,King Philip of France,ACTOR
152472,Husain Reyadh,,ACTOR
530826,Mahmoud el-Meliguy,"Conrad, Marquis of Montferrat",ACTOR
576037,Zaki Toleimat,Duke Arthur,ACTOR
498370,Tewfik El Dekn,Prince of Akka,ACTOR
899933,Mohamed Hamdy,,ACTOR
1533795,Mohamed Sultan,,ACTOR
1533801,Mohamed Abdel Gawad,,ACTOR
1533807,Sami Loutfi,,ACTOR
2172269,Ibrahim Emara,,ACTOR
